burial,sex,total.no.teeth,no.molars,no.premolars,no.anterior,n.molars.caries,n.premolars.caries,n.anterior.caries,molars.leh,premolars.leh,anterior.leh,total.leh,n.teeth.calculus,molars.calculus,premolars.calculus,anterior.calculus,total.calculus,molars.attrition,premolars.attrition,anterior.attrition,total.attrition,molar.att.n.molars,no.molars.1,site
37,M,5,4,1,0,0,0,NA,1,0,NA,1,NA,0,0,NA,0,56,5,NA,61,14,4,Nagabaka
S41,M,7,5,2,0,2,0,NA,0,0,NA,0,NA,0,0,NA,0,64,6,NA,70,12.8,5,Nagabaka
S37,M,1,1,0,0,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,14,NA,NA,14,14,1,Nagabaka
32,M,4,4,0,0,0,NA,NA,0,NA,NA,0,3,3,NA,NA,3,97,NA,NA,97,24.25,4,Nagabaka
73,M,7,4,3,0,0,0,NA,0,0,NA,0,3,2,1,NA,3,128,18,NA,146,32,4,Nagabaka
67,M,10,3,4,3,0,0,0,0,0,0,0,NA,0,0,0,0,51,26,15,92,17,3,Nagabaka
49,M,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,40,40,1,Nagabaka
47,M,2,2,0,0,0,NA,NA,0,NA,NA,0,2,0,NA,NA,0,NA,NA,NA,NA,NA,2,Nagabaka
46,M,2,2,0,0,0,NA,NA,1,NA,NA,1,1,1,NA,NA,1,48,NA,NA,48,24,2,Nagabaka
45,M,4,3,1,0,1,0,NA,1,0,NA,1,NA,0,0,NA,0,72,4,NA,76,24,3,Nagabaka
39,M,2,2,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,32,NA,NA,32,16,2,Nagabaka
??,M,1,1,0,0,0,NA,NA,1,NA,NA,1,NA,0,NA,NA,0,16,NA,NA,16,16,1,Nagabaka
??,M,3,3,0,0,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,3,96,NA,NA,96,32,3,Nagabaka
?6,M,4,3,0,1,2,NA,0,0,NA,0,0,NA,0,NA,0,0,92,NA,4,96,30.66,3,Nagabaka
S16,M,3,2,1,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,26,3,NA,29,13,2,Nagabaka
15,M,6,6,0,0,0,NA,NA,0,NA,NA,0,2,2,NA,NA,2,192,NA,NA,192,32,6,Nagabaka
16,M,2,1,1,0,1,1,NA,NA,1,NA,1,NA,0,0,NA,0,NA,7,NA,7,NA,1,Nagabaka
23,M,6,4,2,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,84,NA,NA,84,21,4,Nagabaka
18,M,1,1,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,28,NA,NA,28,28,1,Nagabaka
S3,M,8,4,3,1,0,0,0,0,1,1,2,5,3,2,0,5,128,16,4,148,32,4,Nagabaka
S14,F,1,0,1,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,3,NA,3,NA,0,Nagabaka
42,F,7,5,1,1,0,0,0,0,1,0,1,NA,0,0,0,0,80,3,2,85,16,5,Nagabaka
19,F,4,4,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,32,NA,NA,32,8,4,Nagabaka
28,F,7,6,1,0,0,0,NA,2,0,NA,2,NA,0,0,NA,0,88,2,NA,90,14.66,6,Nagabaka
17,F,2,2,0,0,2,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,40,NA,NA,40,20,2,Nagabaka
15C,F,2,2,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,52,NA,NA,52,26,2,Nagabaka
15B,F,8,5,2,1,3,0,1,0,0,0,0,NA,0,0,0,0,108,5,5,118,21.6,5,Nagabaka
25,F,2,2,0,0,0,NA,NA,0,NA,NA,0,1,0,NA,NA,0,48,NA,NA,48,24,2,Nagabaka
21,F,2,2,0,0,2,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,40,NA,NA,40,20,2,Nagabaka
30,F,11,6,4,1,2,0,0,0,0,1,1,1,0,1,0,1,72,8,2,82,12,6,Nagabaka
36B,F,2,1,1,0,1,0,NA,1,0,NA,1,NA,0,NA,NA,0,28,6,NA,34,28,1,Nagabaka
72,F,3,1,2,0,0,0,NA,1,0,NA,1,NA,0,0,NA,0,12,4,NA,16,12,1,Nagabaka
69,F,3,3,0,0,0,NA,NA,0,NA,NA,0,1,0,NA,NA,0,72,NA,NA,72,24,3,Nagabaka
S43,F,3,3,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,24,NA,NA,24,8,3,Nagabaka
60,F,2,2,0,0,0,NA,NA,2,NA,NA,2,2,2,NA,NA,2,24,NA,NA,24,12,2,Nagabaka
61,F,5,4,1,0,1,0,NA,0,0,NA,0,1,1,0,NA,1,69,3,NA,72,17.25,4,Nagabaka
62,F,3,2,0,1,0,NA,0,0,NA,0,0,NA,0,NA,0,0,24,NA,1,25,12,2,Nagabaka
65,F,2,2,0,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,71,NA,NA,71,35.5,2,Nagabaka
S53,F,2,2,0,0,0,NA,NA,0,NA,NA,0,1,1,NA,NA,1,24,NA,NA,24,12,2,Nagabaka
S48,F,4,2,0,2,1,NA,0,0,NA,2,2,1,1,NA,0,1,51,NA,8,59,25.5,2,Nagabaka
S46,F,4,4,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,0,48,NA,NA,48,12,4,Nagabaka
41,F,2,2,0,0,0,NA,NA,2,NA,NA,2,0,0,NA,NA,0,8,NA,NA,8,4,2,Nagabaka
S35,NA,5,5,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Nagabaka
S30,NA,4,4,0,0,1,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,48,NA,NA,48,12,4,Nagabaka
S19,NA,4,2,2,0,0,0,NA,NA,NA,NA,NA,3,2,2,NA,4,72,16,NA,88,36,2,Nagabaka
